x,y,y2,y3,,,,
1,0.477121255,1.098612289,-0.521,,,,
2,0.602059991,1.386294361,-0.321,,,,
3,0.698970004,1.609437912,-0.156,,,,
4,0.84509804,1.945910149,0.047,,,,
5,1.041392685,2.397895273,0.29,,,,
6,1.113943352,2.564949357,0.374,,,,
7,1.230448921,2.833213344,0.506,,,,
8,1.361727836,3.135494216,0.649,,,,
9,1.462397998,3.36729583,0.757,,,,
10,1.633468456,3.761200116,0.936,,,,
11,1.672097858,3.850147602,0.976,,,,
12,1.919078092,4.418840608,1.23,,,,
13,2.117271296,4.875197323,1.432,,,,
14,2.136720567,4.919980926,1.452,,,,
15,2.555094449,5.883322388,1.873,,,,
16,2.63447727,6.06610809,,,,,
17,2.636487896,6.070737728,,,,,
18,2.652246341,6.107022888,,,,,
19,2.706717782,6.232448017,,,,,
20,2.755112266,6.343880434,,,,,
21,2.756636108,6.34738921,,,,,
22,3.472902652,7.996653875,,,,,
23,3.674217946,8.46019947,,,,,
24,3.731346976,8.591743923,,,,,
25,3.968996327,9.138951776,,,,,
26,3.985740741,9.177507215,,,,,
27,4.159296427,9.577133949,,,,,
28,4.40757784,10.14882303,,,,,
29,4.487943973,10.33387289,,,,,
30,4.556290437,10.49124644,,,,,
31,4.574158642,10.5323895,,,,,
32,4.706145741,10.83630103,,,,,
33,4.912960314,11.31250918,,,,,
34,5.020821027,11.56086765,,,,,
35,5.114013502,11.77545125,,,,,
36,5.170528666,11.90558223,,,,,
37,5.303427187,12.21159238,,,,,
38,5.599204913,12.89264576,,,,,
39,5.637270526,12.98029508,,,,,
40,5.77088219,13.2879473,,,,,
41,5.773559002,13.29411089,,,,,
42,5.781547869,13.31250594,,,,,
43,5.969190785,13.74456972,,,,,
44,6.021146695,13.86420262,,,,,
45,6.109108228,14.06674154,,,,,
46,6.213785158,14.30776907,,,,,
47,6.256009938,14.40499522,,,,,
48,6.294184174,14.49289465,,,,,
49,6.4630494,14.8817212,,,,,
50,6.511130243,14.99243144,,,,,
51,6.523794185,15.02159124,,,,,
